Date,Close/Last,Volume,Open,High,Low
11/27/2023,$219.30,3691175,$218.81,$219.53,$217.66
11/24/2023,$220.00,2312134,$220.61,$221.59,$218.96
11/22/2023,$219.91,5386264,$218.00,$221.50,$217.70
11/21/2023,$218.27,5362087,$216.50,$219.375,$216.07
11/20/2023,$217.71,11587360,$211.01,$218.88,$210.94
11/17/2023,$208.04,3568495,$208.36,$209.42,$206.82
11/16/2023,$206.60,4655083,$207.50,$207.89,$204.81
11/15/2023,$208.71,5205857,$208.21,$211.09,$207.60
11/14/2023,$207.47,7280093,$207.25,$208.56,$205.98
11/13/2023,$204.54,13040320,$203.49,$206.8486,$202.51
11/10/2023,$196.65,4790114,$195.00,$197.26,$194.21
11/09/2023,$193.33,4576284,$193.03,$197.07,$192.56
11/08/2023,$191.83,2984208,$191.45,$192.44,$190.135
11/07/2023,$191.41,4012942,$192.17,$192.17,$189.57
11/06/2023,$192.95,4222214,$195.88,$196.15,$192.46
11/03/2023,$195.05,4485077,$194.00,$197.14,$193.71
11/02/2023,$192.01,4312985,$190.90,$192.94,$190.34
11/01/2023,$189.38,5832248,$189.69,$190.7799,$187.501
10/31/2023,$186.82,5043018,$183.38,$187.29,$181.32
10/30/2023,$182.35,5507130,$179.42,$184.16,$179.42
10/27/2023,$179.69,4606334,$180.00,$182.3299,$179.01
10/26/2023,$179.09,6961816,$177.11,$182.95,$176.53
10/25/2023,$177.73,13806360,$186.00,$187.00,$176.25
10/24/2023,$182.36,4652871,$183.21,$184.35,$181.80
10/23/2023,$181.03,4146153,$179.44,$183.72,$178.43
10/20/2023,$180.04,4523502,$182.68,$183.3899,$179.85
10/19/2023,$182.79,4043653,$185.50,$187.05,$182.54
10/18/2023,$185.69,6268100,$187.22,$190.249,$185.05
10/17/2023,$185.60,5121789,$183.75,$188.3299,$183.30
10/16/2023,$184.93,4700965,$185.91,$186.23,$182.50
10/13/2023,$184.91,8222731,$186.27,$187.29,$183.175
10/12/2023,$191.30,5668341,$195.10,$195.70,$189.96
10/11/2023,$196.07,7393963,$195.47,$199.6199,$194.27
10/10/2023,$193.53,8062372,$190.01,$194.30,$188.76
10/09/2023,$188.49,4575846,$188.00,$189.49,$185.68
10/06/2023,$187.38,5364252,$185.37,$188.64,$182.55
10/05/2023,$186.29,4331651,$186.16,$188.095,$184.135
10/04/2023,$186.73,7419796,$188.85,$190.6324,$184.34
10/03/2023,$188.92,7285526,$188.625,$192.49,$188.20
10/02/2023,$187.83,5244743,$191.47,$192.44,$186.93
09/29/2023,$191.68,5158379,$191.92,$192.95,$190.17
09/28/2023,$190.43,8009511,$193.70,$195.2615,$190.03
09/27/2023,$195.46,4015532,$196.01,$196.40,$192.77
09/26/2023,$195.64,3666266,$197.79,$199.39,$195.42
09/25/2023,$198.78,3527078,$196.84,$198.98,$195.19
09/22/2023,$197.71,4452352,$199.96,$200.74,$197.14
09/21/2023,$199.95,4751021,$201.00,$203.60,$199.71
09/20/2023,$202.37,3742063,$205.87,$206.25,$202.31
